Abitibi (Que.),"",7673.53,3.2,
Abitibi-Ouest (Que.),"",3333.41,6.6,
Acton (Que.),"",580.37,26.1,
Alberni-Clayoquot Regional District (B.C.),"",6630.46,4.6,
Albert County (N.B.),"",1806.12,14.8,
Algoma District (Ont.)  †,"",48737.22,2.4,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.
Annapolis County (N.S.),"",3185.09,6.8,
Antigonish County (N.S.),"",1457.9,13.4,
Antoine-Labelle (Que.),"",14954.6,2.2,
Argenteuil (Que.),"",1245.77,23.2,
Arthabaska (Que.),"",1888.0,33.9,
Asbestos (Que.),"",785.96,18.5,
Avignon (Que.),"",3486.55,4.4,
Baffin Region (Nvt.),"",1023570.49,0.0,
Beauce-Sartigan (Que.),"",1953.54,24.5,
Beauharnois-Salaberry (Que.),"",469.58,125.9,
Bellechasse (Que.),"",1626.67,18.2,
Bonaventure (Que.),"",4375.15,4.2,
Brant County (Ont.)  †,"",1092.94,108.4,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.
Brome-Missisquoi (Que.),"",1536.99,30.0,
Bruce County (Ont.),"",4155.53,15.4,
Bulkley-Nechako Regional District (B.C.),"",73419.01,0.6,
Bécancour (Que.),"",1144.55,16.7,
Cape Breton County (N.S.),"",2470.62,44.3,
Capital Regional District (B.C.)  †,"",2341.11,139.1,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.
Cariboo Regional District (B.C.),"",80625.97,0.8,
Carleton County (N.B.),"",3311.99,8.2,
Central Coast Regional District (B.C.),"",24559.5,0.2,
Central Kootenay Regional District (B.C.),"",22130.71,2.6,
Central Okanagan Regional District (B.C.),"",2904.0,50.9,
Champlain (Que.),"",169.64,1838.2,
Charlevoix (Que.),"",3764.64,3.5,
Charlevoix-Est (Que.),"",2305.72,7.2,
Charlotte County (N.B.),"",3423.59,8.0,
Chatham-Kent Division (Ont.),"",2470.76,43.6,
Coaticook (Que.),"",1300.25,12.8,
Cochrane District (Ont.)  †,"",141243.97,0.6,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.
Colchester County (N.S.),"",3627.72,13.6,
Columbia-Shuswap Regional District (B.C.),"",29003.3,1.7,
Communauté-Urbaine-de-Montréal (Que.),"",500.05,3625.1,
Communauté-Urbaine-de-Québec (Que.),"",549.13,928.7,
Communauté-Urbaine-de-l'Outaouais (Que.),"",342.31,662.3,
Comox-Strathcona Regional District (B.C.),"",20015.45,4.8,
Cowichan Valley Regional District (B.C.),"",3473.12,20.7,
Cumberland County (N.S.),"",4271.23,7.6,
D'Autray (Que.),"",1100.0,34.9,
Desjardins (Que.),"",256.44,202.2,
Deux-Montagnes (Que.)  †,"",243.3,334.6,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.
Digby County (N.S.),"",2515.24,7.8,
Division No. 1 (Nfld.Lab.),"",9218.43,26.3,
Division No. 1 (Man.),"",14871.71,1.1,
Division No. 1 (Sask.),"",14984.58,2.0,
Division No. 1 (Alta.),"",20516.14,3.3,
Division No. 2 (Nfld.Lab.),"",6099.04,4.0,
Division No. 2 (Man.),"",4406.08,11.5,
Division No. 2 (Sask.),"",16842.56,1.3,
Division No. 2 (Alta.),"",17654.56,7.6,
Division No. 3 (Nfld.Lab.),"",19897.97,1.0,
Division No. 3 (Man.),"",5309.46,7.9,
Division No. 3 (Sask.),"",18544.6,0.8,
Division No. 3 (Alta.),"",13866.02,2.7,
Division No. 4 (Nfld.Lab.),"",7087.7,3.1,
Division No. 4 (Man.),"",4481.52,2.2,
Division No. 4 (Sask.),"",21379.82,0.5,
Division No. 4 (Alta.),"",21466.33,0.5,
Division No. 5 (Nfld.Lab.),"",10365.63,3.9,
Division No. 5 (Man.),"",8228.66,1.7,
